"filename", "language", "Ini", "Java Properties", "C++", "Markdown", "Makefile", "C", "CMake", "Ruby", "YAML", "Python", "JSON", "Shell Script", "Properties", "Handlebars", "reStructuredText", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\README.md", "Markdown", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -14
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\examples\getTimeandDate\getTimeandDate.ino", "C++", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -10, -35
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\examples\setTimeAndDate\setTimeAndDate.ino", "C++", 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -10, -39
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\library.properties", "Java Properties", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\src\Bonezegei_DS1307.cpp", "C++", 0, 0, -169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -32, -210
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\Bonezegei_DS1307\src\Bonezegei_DS1307.h", "C++", 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -10, -56
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\CompileTime\README.md", "Markdown", 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -43
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\CompileTime\examples\CompileTime\CompileTime.ino", "C++", 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -44
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\CompileTime\library.properties", "Java Properties", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\CompileTime\src\CompileTime.cpp", "C++", 0, 0, -142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -29, -188
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\CompileTime\src\CompileTime.h", "C++", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -7, -30
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Button.cpp", "C++", 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -14, -108
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Button.h", "C++", 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -8, -45
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Smooth_font.cpp", "C++", 0, 0, -362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -141, -80, -583
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Smooth_font.h", "C++", 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -15, -62
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Sprite.cpp", "C++", 0, 0, -1921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -380, -398, -2699
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Sprite.h", "C++", 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -64, -45, -189
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Touch.cpp", "C++", 0, 0, -219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, -65, -350
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Extensions\Touch.h", "C++", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -8, -43
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Custom\Orbitron_Light_24.h", "C++", 0, 0, -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -200
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Custom\Orbitron_Light_32.h", "C++", 0, 0, -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -200
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Custom\Roboto_Thin_24.h", "C++", 0, 0, -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -200
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Custom\Satisfy_24.h", "C++", 0, 0, -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -200
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Custom\Yellowtail_32.h", "C++", 0, 0, -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -200
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font16.c", "C", 0, 0, 0, 0, 0, -528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -98, -633
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font16.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font32rle.c", "C", 0, 0, 0, 0, 0, -956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -100, -1066
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font32rle.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font64rle.c", "C", 0, 0, 0, 0, 0, -273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -20, -300
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font64rle.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font72rle.c", "C", 0, 0, 0, 0, 0, -344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -18, -370
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font72rle.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font72x53rle.c", "C", 0, 0, 0, 0, 0, -218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -19, -246
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font72x53rle.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font7srle.c", "C", 0, 0, 0, 0, 0, -240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -18, -267
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\Font7srle.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMono12pt7b.h", "C++", 0, 0, -223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -228
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMono18pt7b.h", "C++", 0, 0, -359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -364
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMono24pt7b.h", "C++", 0, 0, -573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -578
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMono9pt7b.h", "C++", 0, 0, -172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -177
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBold12pt7b.h", "C++", 0, 0, -246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -251
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBold18pt7b.h", "C++", 0, 0, -419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -424
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBold24pt7b.h", "C++", 0, 0, -668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -673
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBold9pt7b.h", "C++", 0, 0, -185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -190
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBoldOblique12pt7b.h", "C++", 0, 0, -265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -270
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBoldOblique18pt7b.h", "C++", 0, 0, -456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -461
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBoldOblique24pt7b.h", "C++", 0, 0, -738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -743
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoBoldOblique9pt7b.h", "C++", 0, 0, -199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -204
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoOblique12pt7b.h", "C++", 0, 0, -244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -249
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoOblique18pt7b.h", "C++", 0, 0, -394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -399
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoOblique24pt7b.h", "C++", 0, 0, -639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -644
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeMonoOblique9pt7b.h", "C++", 0, 0, -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -188
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeSans12pt7b.h", "C++", 0, 0, -266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -271
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeSans18pt7b.h", "C++", 0, 0, -448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -453
"c:\Users\Janek\Desktop\inz\ArduinoPrototype\PIOver\homeStation\lib\TFT_eSPI\Fonts\GFXFF\FreeSans24pt7b.h", "C++", 0, 0, -723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -728
